rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
4,0,Karl Malone,1989,26,PF,4,UTA,214,920,0.233,159562,82,55,6,6.5,38.1,11.1,19.8,0.562,0.2,0.5,0.372,11,19.3,0.567,0.567,8.5,11.1,0.762,2.8,8.3,11.1,2.8,1.5,0.6,3.7,3.2,31,27.2,0.626,0.026,0.561,9.3,24,17.1,13.2,1.9,1,13,32.6,15.9,0.245,6.7,6.6,4.189766777,1.226941489
5,0,Patrick Ewing,1989,27,C,5,NYK,162,920,0.176,245746,82,45,11,6.5,38.6,11.2,20.4,0.551,0,0,0.25,11.2,20.4,0.552,0.551,6.1,7.9,0.775,2.9,8,10.9,2.2,1,4,3.4,4,28.6,25.8,0.599,0.002,0.387,8.5,22.4,15.7,10,1.2,5.9,12.4,29.4,13.5,0.205,6.4,6.5,1.460138818,2.220695617
6,0,David Robinson,1989,24,C,5,SAS,102,920,0.111,119301,82,56,4,16.5,36.6,8.4,15.9,0.531,0,0,0,8.4,15.8,0.532,0.531,7.5,10.2,0.732,3.7,8.3,12,2,1.7,3.9,3.1,3.2,24.3,26.3,0.597,0.002,0.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,15.1,0.241,5.2,4.6,1.871663221,5.220760404
7,0,Hakeem Olajuwon,1989,27,C,5,HOU,64,920,0.07,202244,82,41,16,12.5,38.1,9.8,19.6,0.501,0,0.1,0.167,9.8,19.5,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14,2.9,2.1,4.6,3.9,3.8,24.3,24.1,0.541,0.004,0.333,10.3,28.3,19.5,12.1,2.6,7,14.6,28.1,11.2,0.173,6.3,5.9,-1.441269906,6.736071964
8,0,Tom Chambers,1989,30,PF,4,PHO,12,920,0.013,64028,81,54,7,2.5,37.6,10,20,0.501,0.3,1.1,0.279,9.7,18.9,0.513,0.508,6.9,8,0.861,1.5,5.6,7,2.3,1.1,0.6,2.7,3.2,27.2,20.9,0.579,0.053,0.4,4.7,15.2,10.3,10,1.4,0.9,10.3,28.8,11.2,0.176,2.9,1.8,1.968457352,0.029505966
9,0,John Stockton,1989,27,PG,1,UTA,9,920,0.01,149548,78,55,6,6.5,37.4,6.1,11.8,0.514,0.6,1.4,0.416,5.4,10.3,0.528,0.54,4.5,5.5,0.819,0.7,1.9,2.6,14.5,2.7,0.2,3.5,3,17.2,23.9,0.607,0.123,0.471,2.5,5.6,4.1,57.4,3.5,0.4,19.7,20.6,14.4,0.238,4.5,4.2,8.212237551,1.707144856
10,0,Larry Bird,1989,33,SF,3,BOS,5,920,0.005,248837,75,52,9,6.5,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,21.9,0.546,0.129,0.226,3.6,22.2,13.4,28.9,1.8,1.2,12.7,27.4,9.5,0.154,6.1,6.1,3.95832125,1.206234978
10,0,Buck Williams,1989,29,PF,4,POR,5,920,0.005,0,82,59,3,16.5,34.2,5,9.2,0.548,0,0,0,5,9.2,0.548,0.548,3.5,5,0.706,3,6.7,9.8,1.4,0.8,0.5,2,3.5,13.6,14.3,0.597,0.001,0.541,9.6,21.6,15.5,5.5,1.2,0.8,15.3,15.5,8.7,0.149,2.7,1.8,0.250965888,0.303851898
1,1,Michael Jordan,1990,27,SG,2,CHI,891,960,0.928,1217429,82,61,2,4,37,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7,8.2,0.851,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5,31.6,0.605,0.051,0.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,20.3,0.321,9.8,10.1,9.129035977,3.162250126
2,0,Magic Johnson,1990,31,PG,1,LAL,497,960,0.518,665354,79,58,3,2,37.1,5.9,12.4,0.477,1,3.2,0.32,4.9,9.2,0.532,0.518,6.6,7.3,0.906,1.3,5.6,7,12.5,1.3,0.2,4,1.9,19.4,25.1,0.623,0.256,0.587,4.3,16.9,10.9,49.3,1.8,0.3,20.4,22.9,15.4,0.251,7.6,8.3,8.310156947,0.045754525
3,0,David Robinson,1990,25,C,5,SAS,476,960,0.496,695519,82,55,6,3,37.7,9.2,16.7,0.552,0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13,2.5,1.5,3.9,3.3,3.2,25.6,27.4,0.615,0.005,0.569,12.6,24.7,19,10.9,2,6.2,13.7,26.6,17,0.264,8.1,8.4,2.768372119,5.457432712
4,0,Charles Barkley,1990,27,SF,3,PHI,222,960,0.231,808454,67,44,12,8.5,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,13.4,0.258,7.4,9.9,7.640794939,0.802577524
5,0,Karl Malone,1990,27,PF,4,UTA,142,960,0.148,609201,82,54,7,8.5,40.3,10.3,19.6,0.527,0,0.2,0.286,10.3,19.4,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1,3,3.3,29,24.8,0.596,0.009,0.552,9,24.5,17.2,14.7,1.4,1.5,10.9,30.1,15.5,0.225,6.5,5.8,3.125338535,1.107530369
6,0,Clyde Drexler,1990,28,SG,2,POR,75,960,0.078,349995,82,63,1,5.5,34.8,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14,0.509,0.505,5.1,6.4,0.794,2.6,4.1,6.7,6,1.8,0.7,2.8,2.8,21.5,22.1,0.563,0.143,0.392,8.3,12.8,10.6,25.7,2.4,1.3,12.9,25.7,12.4,0.209,6.7,7.3,5.497764643,1.580135044
7,0,Kevin Johnson,1990,24,PG,1,PHO,32,960,0.033,381463,77,55,5,5.5,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,23.7,0.604,0.038,0.538,2.2,8.1,5.3,40.7,2.8,0.2,16,24.8,12.7,0.22,5.1,5.2,6.027591441,0.624762551
8,0,Dominique Wilkins,1990,31,SF,3,ATL,29,960,0.03,257770,81,43,13,15.5,38,9.5,20.2,0.47,1,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9,3.3,1.5,0.8,2.5,1.9,25.9,23.5,0.555,0.152,0.35,9,17.3,13,14.4,1.9,1.3,9.6,28.1,11.4,0.177,5.2,4.7,4.314301247,0.515030524
9,0,Larry Bird,1990,34,SF,3,BOS,25,960,0.026,717049,60,56,4,10.5,38,7.7,17,0.454,1.3,3.3,0.389,6.4,13.7,0.47,0.492,2.7,3.1,0.891,0.9,7.6,8.5,7.2,1.8,1,3.1,2,19.4,19.7,0.53,0.195,0.18,2.8,20.4,12.3,25.9,2.3,1.5,14.6,23.7,6.6,0.14,3.8,4.7,2.687534723,1.570459757
9,0,Terry Porter,1990,27,PG,1,POR,25,960,0.026,196653,81,63,1,5.5,32.9,6,11.7,0.515,1.6,3.9,0.415,4.4,7.8,0.564,0.584,3.4,4.2,0.823,0.6,2.8,3.5,8,2,0.1,2.3,1.9,17,21.7,0.632,0.332,0.359,2.2,9.4,5.9,34,2.8,0.3,14.7,19.6,13,0.235,5.5,6.1,6.224319229,1.429372418
1,1,Michael Jordan,1991,28,SG,2,CHI,900,960,0.938,1049573,80,67,1,1,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.533,0.526,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3,1.5,8.8,31.7,17.7,0.274,8.3,8.6,6.959556605,2.689841705
2,0,Clyde Drexler,1991,29,SG,2,POR,561,960,0.584,759550,76,57,3,2,36.2,9.1,19.4,0.47,1.5,4.4,0.337,7.6,15,0.51,0.509,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3,25,23.6,0.56,0.229,0.342,6.6,13.2,9.9,29.9,2.4,1.6,12.4,28.7,12.8,0.223,7.2,8.4,6.411402031,1.417939321
3,0,David Robinson,1991,26,C,5,SAS,337,960,0.351,512348,68,47,10,4,37.7,8.7,15.8,0.551,0,0.1,0.125,8.7,15.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,3.2,23.2,27.5,0.597,0.007,0.522,11.2,24,17.7,11.3,3.1,7.4,12.1,24.7,13.9,0.26,7.8,10,2.535955455,7.179031732
4,0,Karl Malone,1991,28,PF,4,UTA,262,960,0.273,764633,81,55,5,8,37.7,9.9,18.7,0.526,0,0.2,0.176,9.8,18.5,0.53,0.527,8.3,10.7,0.778,2.8,8.4,11.2,3,1.3,0.6,3.1,2.8,28,25.4,0.599,0.011,0.571,8.7,24.1,16.8,13.4,1.8,1,11.6,30.3,15.1,0.237,5.6,5.3,4.114869622,0.968300732
5,0,Patrick Ewing,1991,29,C,5,NYK,100,960,0.104,514874,82,51,8,10,38.4,9.7,18.6,0.522,0,0.1,0.167,9.7,18.5,0.523,0.522,4.6,6.2,0.738,2.8,8.5,11.2,1.9,1.1,3,2.5,3.4,24,22.8,0.563,0.004,0.335,8.4,24.9,16.8,8.5,1.4,5,10.7,27.2,13,0.198,4.8,4,-0.169864281,4.770245175
6,0,Chris Mullin,1991,28,SF,3,GSW,81,960,0.084,751397,81,55,4,15.5,41.3,10.2,19.6,0.524,0.8,2.2,0.366,9.5,17.4,0.544,0.544,4.3,5.2,0.833,1.6,4,5.6,3.5,2.1,0.8,2.5,2.1,25.6,19.9,0.586,0.11,0.265,4.2,10.4,7.4,12.2,2.4,1.1,10.2,23.6,10.8,0.155,4.6,3.5,3.269497523,0.583223675
7,0,Mark Price,1991,27,PG,1,CLE,66,960,0.069,0,72,57,2,15.5,29.7,6.1,12.5,0.488,1.4,3.6,0.387,4.7,8.8,0.53,0.545,3.8,4,0.947,0.5,1.9,2.4,7.4,1.3,0.2,2.2,1.6,17.3,22.7,0.61,0.291,0.318,2.1,6.8,4.5,37.9,2.2,0.3,13.5,24.1,9.1,0.205,3.1,3.8,6.477149607,-0.509774356
8,0,Tim Hardaway,1991,25,PG,1,GSW,64,960,0.067,446765,81,55,4,15.5,41.1,9.1,19.7,0.461,1.6,4.6,0.338,7.5,15,0.499,0.501,3.7,4.8,0.766,1,2.8,3.8,10,2,0.2,3.3,2.6,23.4,19.1,0.537,0.236,0.244,2.7,7.4,5.1,33.3,2.3,0.2,13.2,24.4,9.2,0.132,3.9,2.6,4.774184725,-0.512609752
9,0,Scottie Pippen,1991,26,SF,3,CHI,32,960,0.033,542191,82,67,1,1,38.6,8.4,16.6,0.506,0.2,1,0.2,8.2,15.6,0.525,0.511,4,5.3,0.76,2.3,5.4,7.7,7,1.9,1.1,3.1,3,21,21.5,0.555,0.059,0.319,6.9,15.8,11.5,25.8,2.5,1.8,14,24.6,12.7,0.192,6.8,6.5,4.46044711,2.502197192
10,0,Dennis Rodman,1991,30,PF,4,DET,26,960,0.027,197945,82,48,9,5.5,40.3,4.2,7.7,0.539,0.4,1.2,0.317,3.8,6.5,0.581,0.564,1,1.7,0.6,6.4,12.3,18.7,2.3,0.8,0.9,1.7,3,9.8,17,0.574,0.159,0.22,18.1,34.1,26.2,8.2,1.1,1.3,16.7,11.1,12.6,0.183,5.8,4.9,2.354127195,2.256014165
1,1,Charles Barkley,1992,29,PF,4,PHO,835,980,0.852,858947,76,62,1,7,37.6,9.4,18.1,0.52,0.9,2.9,0.305,8.5,15.2,0.561,0.545,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1,3.1,2.6,25.6,25.9,0.596,0.16,0.423,9.5,26.3,18.1,21.2,2,1.6,12.5,26.9,14.4,0.242,7.5,8.3,5.496601517,1.661350804
2,0,Hakeem Olajuwon,1992,30,C,5,HOU,647,980,0.66,422755,82,55,4,11.5,39.5,10.3,19.5,0.529,0,0.1,0,10.3,19.5,0.532,0.529,5.4,7,0.779,3.5,9.6,13,3.5,1.8,4.2,3.2,3.7,26.1,27.3,0.577,0.005,0.356,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,15.8,0.234,8.5,8.4,1.965706608,5.817733939
3,0,Michael Jordan,1992,29,SG,2,CHI,565,980,0.577,1035824,78,57,3,1,39.3,12.7,25.7,0.495,1,2.9,0.352,11.7,22.7,0.514,0.515,6.1,7.3,0.837,1.7,5,6.7,5.5,2.8,0.8,2.7,2.4,32.6,29.7,0.564,0.115,0.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,17.2,0.27,8.9,9.5,7.627618872,2.779669219
4,0,Patrick Ewing,1992,30,C,5,NYK,359,980,0.366,576368,81,60,2,3.5,37.1,9.6,19.1,0.503,0,0.1,0.143,9.6,19,0.504,0.503,4.9,6.9,0.719,2.4,9.7,12.1,1.9,0.9,2,3.3,3.5,24.2,20.8,0.546,0.005,0.359,7.3,28.4,18.2,9.2,1.3,3.6,12.9,29.7,10.6,0.17,3.2,2.2,-1.782949949,4.901228891
5,0,Dominique Wilkins,1992,33,SF,3,ATL,54,980,0.055,380958,71,43,12,20,37.3,10.4,22.3,0.468,1.7,4.5,0.38,8.7,17.9,0.49,0.506,7.3,8.8,0.828,2.6,4.2,6.8,3.2,1,0.4,2.6,1.6,29.9,24.3,0.57,0.199,0.396,7.6,12.9,10.1,14.9,1.3,0.6,9,31.9,10.5,0.191,3.7,3.6,4.903314119,-1.299475091
6,0,David Robinson,1992,27,C,5,SAS,33,980,0.034,603696,82,49,8,7,39.2,8.2,16.4,0.501,0,0.2,0.176,8.2,16.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,24.2,0.569,0.013,0.568,8.6,24.8,17.1,15,2,5.1,12.5,26.4,13.2,0.197,7,6.7,1.178536096,4.250657639
7,0,Shaquille O'Neal,1992,20,C,5,ORL,30,980,0.031,826767,81,41,16,21,37.9,9,16.1,0.562,0,0,0,9,16.1,0.563,0.562,5.3,8.9,0.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4,23.4,22.9,0.584,0.002,0.553,13.4,27.1,20.6,8.5,1,5.7,15.9,27,10.4,0.163,4.4,3.7,-0.073400296,3.020319941
8,0,Karl Malone,1992,29,PF,4,UTA,10,980,0.01,563627,82,47,10,7,37.8,9.7,17.6,0.552,0,0.2,0.2,9.7,17.4,0.557,0.554,7.5,10.2,0.74,2.8,8.4,11.2,3.8,1.5,1,2.9,3.2,27,26.2,0.612,0.014,0.579,8.6,24.6,16.9,16.9,2,1.8,11.7,28.4,15.4,0.238,7.6,7.6,3.869514036,1.318157754
8,0,Mark Price,1992,28,PG,1,CLE,10,980,0.01,327964,75,54,6,3.5,31.7,6.4,13.1,0.484,1.6,3.9,0.416,4.7,9.2,0.512,0.546,3.9,4.1,0.948,0.5,2.2,2.7,8,1.2,0.1,2.6,1.4,18.2,22.1,0.609,0.297,0.309,1.9,7.6,4.8,38.1,1.9,0.3,14.9,24.5,9.8,0.197,3.1,3.2,5.617882884,-0.667120369
1,1,Hakeem Olajuwon,1993,31,C,5,HOU,889,1010,0.88,478018,80,58,2,6.5,41,11.2,21.2,0.528,0.1,0.2,0.421,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,25.3,0.565,0.011,0.32,8.2,23.3,16.2,16.4,2,5.7,12.3,29.8,14.3,0.21,7.4,7,0.752527748,5.317177511
2,0,David Robinson,1993,28,C,5,SAS,730,1010,0.723,350873,80,55,7,6.5,40.5,10.5,20.7,0.507,0.1,0.4,0.345,10.4,20.4,0.51,0.51,8.7,11.6,0.749,3,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,30.7,0.577,0.017,0.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32,20,0.296,10.6,10.9,4.618729394,4.496762422
3,0,Scottie Pippen,1993,28,SF,3,CHI,390,1010,0.386,496506,72,55,6,10,38.3,8.7,17.8,0.491,0.9,2.7,0.32,7.8,15,0.522,0.515,3.8,5.7,0.66,2.4,6.3,8.7,5.6,2.9,0.8,3.2,3.2,22,23.2,0.544,0.154,0.32,7.3,19.4,13.3,24.6,4,1.4,13.7,27.1,11.2,0.194,7.2,8.3,3.758676035,4.114419684
4,0,Shaquille O'Neal,1993,21,C,5,ORL,289,1010,0.286,603346,81,50,10,9,39.8,11.8,19.6,0.599,0,0,0,11.8,19.6,0.6,0.599,5.8,10.5,0.554,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,28.5,0.605,0.001,0.534,13.5,23.7,18.7,11,1.2,4.5,10.2,29,16.9,0.252,7.1,6.6,4.119844101,1.895644797
5,0,Patrick Ewing,1993,31,C,5,NYK,255,1010,0.252,427216,79,57,4,1,37.6,9.4,19,0.496,0.1,0.2,0.286,9.4,18.8,0.498,0.497,5.6,7.4,0.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,3.5,24.5,22.9,0.551,0.009,0.387,8.5,24.9,16.9,11.3,1.6,5.1,12.9,29.8,13.1,0.211,4.9,4.5,-0.976747045,5.346246076
6,0,Gary Payton,1993,25,PG,1,SEA,20,1010,0.02,316720,82,63,1,4,35.1,7.1,14.1,0.504,0.2,0.7,0.278,6.9,13.5,0.515,0.51,2,3.4,0.595,1.3,2,3.3,6,2.3,0.2,2.1,2.8,16.5,17.8,0.526,0.047,0.241,4.3,6.8,5.5,26.7,3.3,0.5,11.9,21.6,9.3,0.155,3.5,2.8,2.27636822,1.30556284
7,0,Shawn Kemp,1993,24,PF,4,SEA,17,1010,0.017,461880,79,63,1,4,32.9,6.7,12.5,0.538,0,0.1,0.25,6.7,12.5,0.54,0.539,4.6,6.2,0.741,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1,22.9,0.593,0.004,0.496,14.2,24.7,19.4,12.4,2.8,4.6,17.7,24.2,11.7,0.216,5.6,6.5,2.016587976,2.725993048
7,0,Karl Malone,1993,30,PF,4,UTA,17,1010,0.017,322450,82,53,8,11.5,40.6,9.4,18.9,0.497,0.1,0.4,0.25,9.3,18.5,0.503,0.5,6.2,9,0.694,2.9,8.6,11.5,4,1.5,1.5,2.9,3.3,25.2,22.9,0.55,0.021,0.474,8.3,24.1,16.3,17.1,1.9,2.6,11.1,28,13.4,0.193,6.9,6.3,2.333918998,1.869113409
9,0,Mark Price,1993,29,PG,1,CLE,7,1010,0.007,423179,76,47,11,3,31.4,6.3,13.2,0.478,1.6,3.9,0.397,4.8,9.3,0.511,0.536,3.1,3.5,0.888,0.5,2.5,3,7.8,1.4,0.1,2.5,1.2,17.3,22.7,0.586,0.296,0.267,1.9,9.2,5.6,42,2.3,0.3,14.4,24.6,10,0.201,3.9,4.6,5.748715175,-0.387094419
10,0,Charles Barkley,1993,30,PF,4,PHO,5,1010,0.005,794936,65,56,5,2,35.4,8,16.1,0.495,0.7,2.7,0.27,7.2,13.4,0.541,0.518,4.9,7,0.704,3,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,22.8,0.563,0.17,0.432,9.8,25.6,17.8,20,2.2,1,14.2,26.5,8.8,0.185,4.5,5.7,3.966564396,1.045551203
1,1,David Robinson,1994,29,C,5,SAS,901,1050,0.858,1046364,81,62,1,6.5,38,9.7,18.4,0.53,0.1,0.2,0.3,9.7,18.1,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,29.1,0.602,0.013,0.57,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,17.5,0.273,8.1,8.4,2.785551963,5.156917424
2,0,Shaquille O'Neal,1994,22,C,5,ORL,605,1050,0.576,1263451,79,57,4,3.5,37,11.8,20.2,0.583,0,0.1,0,11.8,20.1,0.585,0.583,5.8,10.8,0.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,28.6,0.588,0.003,0.536,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,14,0.23,5.4,5.4,3.752577076,1.635788134
3,0,Karl Malone,1994,31,PF,4,UTA,532,1050,0.507,526741,82,60,2,11.5,38.1,10.1,18.9,0.536,0.1,0.5,0.268,10,18.4,0.543,0.54,6.3,8.5,0.742,1.9,8.7,10.6,3.5,1.6,1,2.9,3.3,26.7,25.1,0.59,0.026,0.449,6.6,27.2,17.4,16.4,2.1,2.2,11.3,30.3,13.8,0.212,6.1,5.8,3.479655764,1.905251703
4,0,Patrick Ewing,1994,32,C,5,NYK,230,1050,0.219,728331,79,55,6,3.5,37,9.2,18.4,0.503,0.1,0.3,0.286,9.2,18.1,0.506,0.505,5.3,7.1,0.75,2,9,11,2.7,0.9,2,3.2,3.4,23.9,21.9,0.555,0.014,0.386,6.6,27.5,17.4,14.4,1.2,4.1,13.1,30.7,9.6,0.157,3.1,2.2,-1.615970579,3.697071177
5,0,Hakeem Olajuwon,1994,32,C,5,HOU,147,1050,0.14,1125032,72,47,11,3.5,39.6,11.1,21.5,0.517,0,0.2,0.188,11,21.2,0.52,0.517,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,26,0.563,0.01,0.348,7.3,23.1,15.6,17.2,2.4,5.9,11.7,31.7,10.7,0.181,5.3,5.3,0.792227525,3.743897134
6,0,Charles Barkley,1994,31,PF,4,PHO,96,1050,0.091,1046105,68,59,3,1,35,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3,8.1,11.1,4.1,1.6,0.7,2.2,3,23,25.2,0.572,0.192,0.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,10.6,0.214,5.1,6.4,5.005126658,1.596646952
7,0,Scottie Pippen,1994,29,SF,3,CHI,83,1050,0.079,1134525,79,47,10,8.5,38.2,8,16.7,0.48,1.4,4,0.345,6.6,12.7,0.523,0.522,4,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,3,21.4,22.6,0.559,0.239,0.333,6.9,18.2,12.5,22.8,4,2.2,15.2,26.3,11.8,0.188,7.4,7.8,3.570758304,3.996681545
8,0,John Stockton,1994,32,PG,1,UTA,47,1050,0.045,798219,82,60,2,11.5,35,5.2,9.6,0.542,1.2,2.8,0.449,4,6.9,0.58,0.607,3,3.7,0.804,0.7,2.4,3.1,12.3,2.4,0.3,3.3,2.6,14.7,23.3,0.651,0.287,0.387,2.6,8,5.5,52.6,3.5,0.6,22.4,18.9,13.9,0.233,5.4,5.5,8.003439307,1.4854378
9,0,Gary Payton,1994,26,PG,1,SEA,34,1050,0.032,567324,82,57,5,3.5,36.8,8.4,16.4,0.509,0.9,2.8,0.302,7.5,13.6,0.553,0.535,3,4.2,0.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,2.5,20.6,21.3,0.564,0.172,0.259,4.3,6.7,5.5,31.8,3.4,0.3,11.8,24.4,11.7,0.187,5,4.5,4.675660306,1.125937079
10,0,Anfernee Hardaway,1994,23,PG,1,ORL,23,1050,0.022,999327,77,57,4,3.5,37.7,7.6,14.8,0.512,1.1,3.2,0.349,6.5,11.6,0.558,0.55,4.6,6,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,20.8,0.599,0.218,0.405,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,10.7,0.177,4.5,4.2,4.878762828,-0.119362317
1,1,Michael Jordan,1995,32,SG,2,CHI,1114,1130,0.986,1341422,82,72,1,1,37.7,11.2,22.6,0.495,1.4,3.2,0.427,9.8,19.4,0.506,0.525,6.7,8,0.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,29.4,0.582,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1,8.4,33.3,20.4,0.317,8.3,8.6,7.646927353,2.660799759
2,0,David Robinson,1995,30,C,5,SAS,574,1130,0.508,1037245,82,59,4,4.5,36.8,8.7,16.8,0.516,0,0.1,0.333,8.6,16.7,0.517,0.517,7.6,10,0.761,3.9,8.3,12.2,3,1.4,3.3,2.3,3.2,25,29.4,0.589,0.007,0.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,18.3,0.29,8.5,9.2,3.551690796,4.9639086
3,0,Anfernee Hardaway,1995,24,PG,1,ORL,360,1130,0.319,1050461,82,60,3,2,36.8,7.6,14.8,0.513,1.1,3.5,0.314,6.5,11.4,0.573,0.549,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2,0.5,2.8,2,21.7,24.6,0.605,0.233,0.477,5.1,8.5,6.8,32.2,2.9,1,13.5,25.5,14.4,0.229,6.4,6.4,6.596037943,1.032114871
4,0,Hakeem Olajuwon,1995,33,C,5,HOU,238,1130,0.211,1240329,72,48,8,4.5,38.8,10.7,20.8,0.514,0,0.2,0.214,10.6,20.6,0.517,0.515,5.5,7.6,0.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,25.5,0.558,0.009,0.367,7.3,24,15.9,18.3,2.1,5.3,12.5,31.9,9.7,0.166,4.7,4.6,-0.075923209,3.098705189
5,0,Scottie Pippen,1995,30,SF,3,CHI,226,1130,0.2,1289649,77,72,1,1,36.7,7.3,15.8,0.463,1.9,5.2,0.374,5.4,10.6,0.507,0.525,2.9,4.2,0.679,2,4.5,6.4,5.9,1.7,0.7,2.7,2.6,19.4,21,0.551,0.33,0.266,6.3,14.2,10.2,25.2,2.5,1.5,13.2,24.4,12.3,0.209,6.3,6.8,5.126964867,2.676948406
6,0,Gary Payton,1995,27,PG,1,SEA,98,1130,0.087,0,81,64,2,6.5,39,7.6,15.8,0.484,1.2,3.7,0.328,6.4,12.1,0.532,0.523,2.8,3.8,0.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3,19.6,0.554,0.234,0.24,4.1,8.4,6.3,33.3,3.7,0.5,15.6,23.6,11.5,0.174,5.3,4.7,3.539129942,2.444769875
7,0,Karl Malone,1995,32,PF,4,UTA,85,1130,0.075,986028,82,55,5,8,38,9.6,18.5,0.519,0.2,0.5,0.4,9.4,18,0.522,0.524,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3,25.7,26,0.575,0.026,0.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,15.1,0.233,7.4,7.3,3.915247809,2.3172439
8,0,Shawn Kemp,1995,26,PF,4,SEA,73,1130,0.065,1021384,79,64,2,6.5,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.6,11.7,0.563,0.564,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4,3.8,19.6,22.6,0.631,0.013,0.709,13,26.9,20.3,11.5,1.8,3.8,20.4,26.2,11.2,0.205,3.9,3.8,1.29714707,1.783748592
