rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
5,0,Kareem Abdul-Jabbar,1985,38,C,5,LAL,135,780,0.173,666826,79,62,2,1,33.3,9.6,16.9,0.564,0,0,0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,22.7,0.603,0.001,0.328,6,14.2,10.3,15.7,1.2,2.7,11.7,26.6,10.8,0.197,4.3,4.5,2.185578564,1.535458015
6,0,Charles Barkley,1985,22,PF,4,PHI,133,780,0.171,243841,80,54,4,3,36.9,7.4,13,0.572,0.2,0.9,0.227,7.2,12.1,0.598,0.58,5,7.2,0.685,4.4,8.4,12.8,3.9,2.2,1.6,4.4,4.2,20,22.4,0.619,0.072,0.555,13.4,25.4,19.4,16,2.8,2.4,21.3,22.4,10.8,0.176,7.3,7.9,3.473237833,2.04944115
7,0,Sidney Moncrief,1985,28,PG,1,MIL,56,780,0.072,503105,73,57,3,4,35.2,6.4,13.2,0.489,0.5,1.4,0.32,6,11.8,0.509,0.506,6.8,7.9,0.859,1.6,3,4.6,4.9,1.4,0.2,2.4,2.4,20.2,20,0.604,0.107,0.603,5,9.4,7.3,19.2,1.9,0.4,12.5,21.8,11.7,0.219,4.6,5.1,4.040430447,0.052717299
8,0,Alex English,1985,32,SF,3,DEN,55,780,0.071,410112,81,47,7,10,37.3,11.7,23.3,0.504,0,0.1,0.2,11.7,23.2,0.505,0.504,6.3,7.3,0.862,2.4,2.6,5,4,0.9,0.4,3.1,2.9,29.8,21.7,0.562,0.003,0.314,6.3,7.7,7,17,1.1,0.5,10.4,30.5,9.8,0.156,3.2,2.1,2.661682416,-1.451655907
9,0,Isiah Thomas,1985,24,PG,1,DET,28,780,0.036,666013,77,46,8,6,36.2,7.9,16.2,0.488,0.3,1.1,0.31,7.6,15.1,0.501,0.498,4.7,6,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,3.2,20.9,21.2,0.554,0.067,0.37,3.1,7.6,5.3,40.7,2.8,0.4,16.6,24.4,8.8,0.151,0.8,-0.8,4.719698548,0.474182221
10,0,Moses Malone,1985,30,C,5,PHI,21,780,0.027,615089,74,54,4,3,36.6,7.7,16.8,0.458,0,0,0,7.7,16.8,0.459,0.458,8.3,10.6,0.787,4.6,7.2,11.8,1.2,0.9,1,3.5,2.6,23.8,20.6,0.553,0.001,0.629,14,22,18,5.1,1.2,1.5,14.1,27.6,8.9,0.157,4.3,4,0.343758866,0.091357707
1,1,Magic Johnson,1986,27,PG,1,LAL,733,780,0.94,949304,80,65,1,3,36.3,8.5,16.4,0.522,0.1,0.5,0.205,8.4,15.9,0.532,0.525,6.7,7.9,0.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,2.1,23.9,27,0.602,0.03,0.482,5,13.7,9.7,47.2,2.2,0.7,15.9,26.3,15.9,0.263,7.4,8.1,8.204307235,0.779545843
2,0,Michael Jordan,1986,23,SG,2,CHI,449,780,0.576,1141733,82,40,14,21,40,13.4,27.8,0.482,0.1,0.8,0.182,13.2,27,0.491,0.484,10.2,11.9,0.857,2,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,16.9,0.247,8.8,8.1,5.542254459,2.847638272
3,0,Larry Bird,1986,30,SF,3,BOS,271,780,0.347,902701,74,59,2,1,40.6,10.6,20.2,0.525,1.2,3,0.4,9.4,17.2,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,26.4,0.612,0.15,0.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,15.2,0.243,8.5,9.2,6.48102922,1.680482881
4,0,Kevin McHale,1986,29,PF,4,BOS,254,780,0.326,455859,77,59,2,1,39.7,10.3,17,0.604,0,0.1,0,10.3,16.9,0.606,0.604,5.6,6.6,0.836,3.2,6.7,9.9,2.6,0.5,2.2,2.6,3.1,26.1,24,0.655,0.003,0.392,9.9,17.5,14,9.8,0.6,3.1,11.4,24.1,14.8,0.232,5.6,5.2,3.883279488,0.221290774
5,0,Dominique Wilkins,1986,27,SF,3,ATL,128,780,0.164,1029131,79,57,3,9,37.6,10.5,22.6,0.463,0.4,1.3,0.292,10.1,21.3,0.474,0.472,7.7,9.4,0.818,2.7,3.6,6.3,3.3,1.5,0.6,2.7,1.9,29,23.5,0.543,0.059,0.415,7.7,10.3,9,14.9,1.9,1,9.2,32.3,12.2,0.197,5.2,4.9,3.76671131,0.863099944
6,0,Charles Barkley,1986,23,PF,4,PHI,113,780,0.145,479176,68,45,8,8,40.3,8.2,13.8,0.594,0.3,1.5,0.202,7.9,12.3,0.643,0.606,6.3,8.3,0.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23,25.1,0.66,0.111,0.602,16.7,24.8,20.8,19,2.1,2.2,21.4,23.1,12,0.21,7.7,9.2,5.308401906,0.838687178
7,0,Hakeem Olajuwon,1986,24,C,5,HOU,28,780,0.036,792148,75,42,11,2,36.8,9,17.8,0.508,0,0.1,0.2,9,17.7,0.509,0.509,5.3,7.6,0.702,4.2,7.2,11.4,2.9,1.9,3.4,3,3.9,23.4,23.8,0.554,0.004,0.428,12.7,21.3,17.1,12.6,2.4,5.3,12.6,26.8,10.9,0.189,6,6.6,0.998159309,5.173482317
8,0,Isiah Thomas,1986,25,PG,1,DET,17,780,0.022,713173,81,52,5,10.5,37.2,7.7,16.7,0.463,0.2,1.2,0.194,7.5,15.5,0.484,0.47,4.9,6.4,0.768,1,2.9,3.9,10,1.9,0.2,4.2,3.1,20.6,18.8,0.528,0.072,0.385,3,8.2,5.7,39.3,2.4,0.4,17.8,25.9,7.6,0.121,3.8,3,3.424348921,0.792795782
